"Code_bib","nom_de_l_etablissement","Adresse","code_departement","Département","CP","Ville","code_insee_commune","Population.commune","Longitude","Latitude","Statut","type_adresse","site_internet","Amplitude.horaire","nombre_de_places","nb_postes_informatiques_publics","ouverture_le_dimanche","connexion_wi_fi","Surface","nombre_de_livres","nombre_de_cd","nombre_de_dvd","nombre_d_emprunteurs","nombre_d_entrees","nombre_de_prets","depenses_action_culturelle","depenses_documentaires","etp_salaries","Nombre.de.salariés","gratuite_des_services","nombre_actions_culturelles","pop_touchee_actions_culturelles"
"LI10341","Bibliothèque Annexe De Sainte-Anne","3 Chemin Morange","974","La Réunion",97437,"Saint-Benoît","97410",37301,55.745978,-21.081955,"Bibliothèque municipale","Bâtiment ouvert","https://www.saint-benoit.re/page/193-mediatheques",34,10,0,"Non","Non",75,29923.125,NA,NA,93,202,25170.03125,12283.1875,19914.52,NA,NA,"Oui",NA,NA
"LI10533","Bibliotheque Intercommunale Alain Lorraine","1 ALLÉE DES PIERRES DE LUNE","974","La Réunion",97400,"Saint-Denis","97411",156282,55.451425,-20.892755,"Bibliothèque intercommunale","Bâtiment ouvert","https://lecturepublique.cinor.org",34,50,5,"Non","Oui",480,27798,565,4492,1180,22059.6666666667,50444,8972,32653,10,10,"Oui",161,4168
"LI6341","Annexe Des Makes","21 rue DE LA PEPINIERE","974","La Réunion",97421,"Saint-Louis","97414",54557,55.405536,-21.209172,"Bibliothèque municipale","Bâtiment ouvert",NA,35,36,2,"Non","Non",170,7543,24,0,117,22059.6666666667,1384,12283.1875,19914.52,3,3,"Oui",7,139
"LI6352","Médiathèque de Bras-Creux","166 chemin Chalet","974","La Réunion",97430,"Le Tampon","97422",82868,55.534705,-21.256787,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI6337","B.C.D de Grand-Coude","15 Chemin Usine à Thé","974","La Réunion",97480,"Saint-Joseph","97412",39365,55.62763,-21.293709,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI6342","Bibliothèque Du Guillaume","71 rue Louise et Jouan","974","La Réunion",97423,"Saint-Paul","97415",106554,55.297056,-21.037129,"Bibliothèque municipale","Bâtiment ouvert","https://mediatheques-saintpaul.re",45,24,0,"Non","Oui",180,12389,34,752,459,22059.6666666667,16677,12283.1875,6783,6,6,"Non",94,3385
"LI4401","Bibliotheque Municipale","8 RUE DU PERE DELAPORTE","974","La Réunion",97421,"Saint-Louis","97414",54557,55.437498,-21.264461,"Bibliothèque municipale","Bâtiment ouvert",NA,35,21,0,"Non","Non",213,25186,153,61,347,1847,10977,12283.1875,19914.52,7,8,"Oui",7,570
"LI4391","Mediatheque Benoite Boulard","100 AVENUE 20 DECEMBRE 1848","974","La Réunion",97420,"Le Port","97407",33595,55.29817,-20.939796,"Bibliothèque municipale","Bâtiment ouvert",NA,38,342,24,"Non","Oui",2349,44650,6862,4038,1410,172599,10768,12283.1875,19914.52,37,37,"Non",141,5597
"LI4392","Mediatheque Municipale","24 RUE EVARISTE DE PARNY","974","La Réunion",97419,"La Possession","97408",35680,55.337396,-20.927012,"Bibliothèque municipale","Bâtiment ouvert","mediatheque.lapossession.re",41,115,6,"Non","Oui",1000,24527,2623,885,974.545454545455,13000,22394,12283.1875,22010,11,11,"Non",89,2770
"LI6334","Bibliotheque de La Montagne","41 route des palmiers","974","La Réunion",97417,"Saint-Denis","97411",156282,55.423965,-20.88893,"Bibliothèque municipale","Bâtiment ouvert","lecturepublique.cinor.org",35,25,4,"Non","Non",140,22382,298,1646,1278,22059.6666666667,48239,12283.1875,19914.52,4,4,"Oui",54,4124
"LI4390","Bibliotheque Municipale","277 RUE DE LA REPUBLIQUE","974","La Réunion",97431,"La Plaine-des-Palmistes","97406",6920,55.629126,-21.134024,"Bibliothèque municipale","Bâtiment ouvert","Site internet propre",42,60,2,"Non","Oui",401,29923.125,1102,20,2772,6918,5791,2500,8361,7,7,"Oui",195,NA
"LI4399","Médiathèque du Sud Sauvage","33 Rue Maury","974","La Réunion",97480,"Saint-Joseph","97412",39365,55.617709,-21.377334,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI4408","Bibliotheque Municipale","2 RUE DE LA GARE","974","La Réunion",97441,"Sainte-Suzanne","97420",24538,55.60758,-20.905155,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI6347","Médiathèque-Ludothèque de la Plaine des Cafres - 23ème Km","12 rue des écoles","974","La Réunion",97418,"Le Tampon","97422",82868,55.547313,-21.220914,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI6345","Bibliothèque Du Bois De Nèfles","20 bis Rue de  l'église","974","La Réunion",97411,"Saint-Paul","97415",106554,55.327337,-20.999563,"Bibliothèque municipale","Bâtiment ouvert","https://mediatheques-saintpaul.re",50,25,0,"Non","Oui",125,15242,93,808,558,22059.6666666667,13161,12283.1875,12833,6.5,7,"Non",77,1038
"LI6351","Médiathèque-Grainothèque de Bérive","3 chemin de l'école","974","La Réunion",97430,"Le Tampon","97422",82868,55.535306,-21.312199,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI6338","Bibliothèque Relais De Langevin","42 Rue Gabriel Macé","974","La Réunion",97480,"Saint-Joseph","97412",39365,55.646695,-21.384595,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI6348","Médiathèque-bédéthèque de Trois-Mares","7 rue Charles Baudelaire","974","La Réunion",97430,"Le Tampon","97422",82868,55.507072,-21.263301,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI4393","BIBLIOTHÈQUE MUNICIPALE DE SALAZIE","56 RUE DU GENERAL DE GAULLE","974","La Réunion",97433,"Salazie","97421",7319,55.520963,-21.063131,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI20657","Médiathèque Angélo Lauret","249 bis Avenue du Général de Gaulle","974","La Réunion",97410,"Saint-Pierre","97416",84950,55.521104,-21.357053,"Bibliothèque municipale","Bâtiment ouvert","mediatheque.saintpierre.re",36,75,0,"Oui","Non",1135,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,"Oui",NA,NA
